Error: missing newline in C:\Users\student\Documents\reg_client_500\param.dat	[MsgId: MERR-13874]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.rule.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/app_js/auth.interceptor.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/mediaelement-and-player.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/app_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/admin_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/customer_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/blog_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/home_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/moderator_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/new_tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/require.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/path_controller.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/landing/jQuery.YouTube.HD.Thumbnail.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/main_route.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): web_custom_request("main") was successful, 3911498 body bytes, 21844 header bytes, 25 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(33): Notify: Transaction "register" started.	[MsgId: MMSG-16999]
Action.c(35): web_add_header("X-XSRF-TOKEN") started  	[MsgId: MMSG-26355]
Action.c(35): web_add_header("X-XSRF-TOKEN") was successful  	[MsgId: MMSG-26392]
Action.c(38): web_custom_request("register") started  	[MsgId: MMSG-26355]
Action.c(38): Continuing after Error -26631: HTTP Status-Code=400 (Bad Request) for "https://prod.uxcrowd.ru/api/register"  	[MsgId: MERR-26631]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 24.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 24.	[MsgId: MMSG-10545]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/jquery.uploadfile.min.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/FileSaver.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/sup_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/init.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.rule.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/app_js/auth.interceptor.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/mediaelement-and-player.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/app_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/admin_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/customer_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/blog_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/home_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/moderator_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/new_tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/require.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/path_controller.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/landing/jQuery.YouTube.HD.Thumbnail.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/main_route.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): web_custom_request("main") was successful, 3911498 body bytes, 21844 header bytes, 25 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(33): Notify: Transaction "register" started.	[MsgId: MMSG-16999]
Action.c(35): web_add_header("X-XSRF-TOKEN") started  	[MsgId: MMSG-26355]
Action.c(35): web_add_header("X-XSRF-TOKEN") was successful  	[MsgId: MMSG-26392]
Action.c(38): web_custom_request("register") started  	[MsgId: MMSG-26355]
Action.c(38): Continuing after Error -26631: HTTP Status-Code=400 (Bad Request) for "https://prod.uxcrowd.ru/api/register"  	[MsgId: MERR-26631]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 25.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 26.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 27.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 27.	[MsgId: MMSG-10545]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/jquery.uploadfile.min.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/FileSaver.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/sup_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/init.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.rule.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/app_js/auth.interceptor.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/mediaelement-and-player.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/app_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/admin_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/customer_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/blog_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/home_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/moderator_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/new_tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/require.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/path_controller.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/landing/jQuery.YouTube.HD.Thumbnail.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/main_route.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): web_custom_request("main") was successful, 3911498 body bytes, 21844 header bytes, 25 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(33): Notify: Transaction "register" started.	[MsgId: MMSG-16999]
Action.c(35): web_add_header("X-XSRF-TOKEN") started  	[MsgId: MMSG-26355]
Action.c(35): web_add_header("X-XSRF-TOKEN") was successful  	[MsgId: MMSG-26392]
Action.c(38): web_custom_request("register") started  	[MsgId: MMSG-26355]
Action.c(38): Continuing after Error -26631: HTTP Status-Code=400 (Bad Request) for "https://prod.uxcrowd.ru/api/register"  	[MsgId: MERR-26631]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 28.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 28.	[MsgId: MMSG-10545]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/jquery.uploadfile.min.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/FileSaver.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/sup_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/init.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.rule.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/app_js/auth.interceptor.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/mediaelement-and-player.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/app_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/admin_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/customer_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/blog_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/home_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/moderator_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/new_tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/require.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/path_controller.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/landing/jQuery.YouTube.HD.Thumbnail.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/main_route.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): web_custom_request("main") was successful, 3911395 body bytes, 21844 header bytes, 25 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(33): Notify: Transaction "register" started.	[MsgId: MMSG-16999]
Action.c(35): web_add_header("X-XSRF-TOKEN") started  	[MsgId: MMSG-26355]
Action.c(35): web_add_header("X-XSRF-TOKEN") was successful  	[MsgId: MMSG-26392]
Action.c(38): web_custom_request("register") started  	[MsgId: MMSG-26355]
Action.c(38): Continuing after Error -26631: HTTP Status-Code=400 (Bad Request) for "https://prod.uxcrowd.ru/api/register"  	[MsgId: MERR-26631]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 29.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 30.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 31.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 32.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 33.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
Action.c(19): Continuing after Error -26630: HTTP Status-Code=401 (Unauthorized) for "https://prod.uxcrowd.ru/api/account/"  	[MsgId: MERR-26630]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 33.	[MsgId: MMSG-10545]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/jquery.uploadfile.min.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/FileSaver.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/sup_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/init.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/validation.rule.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/app_js/auth.interceptor.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/mediaelement-and-player.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/app_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/admin_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/customer_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/blog_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/home_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/moderator_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/new_tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/gulp/tester_js.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/library/require.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/path_controller.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/landing/jQuery.YouTube.HD.Thumbnail.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): Found resource "https://prod.uxcrowd.ru/assets/js/main_js/main_route.js" in HTML "https://prod.uxcrowd.ru/"  	[MsgId: MMSG-26659]
Action.c(26): web_custom_request("main") was successful, 3911498 body bytes, 21844 header bytes, 25 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(33): Notify: Transaction "register" started.	[MsgId: MMSG-16999]
Action.c(35): web_add_header("X-XSRF-TOKEN") started  	[MsgId: MMSG-26355]
Action.c(35): web_add_header("X-XSRF-TOKEN") was successful  	[MsgId: MMSG-26392]
Action.c(38): web_custom_request("register") started  	[MsgId: MMSG-26355]
Action.c(38): Continuing after Error -26631: HTTP Status-Code=400 (Bad Request) for "https://prod.uxcrowd.ru/api/register"  	[MsgId: MERR-26631]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 34.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(8): web_set_max_html_param_len started  	[MsgId: MMSG-26355]
Action.c(8): web_set_max_html_param_len was successful  	[MsgId: MMSG-26392]
Action.c(10): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(10): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(19): web_custom_request("get_token") started  	[MsgId: MMSG-26355]
Action.c(19): Continuing after Error -26547: Authentication required, please use "web_set_user", e.g. web_set_user("domain\\user", "password", "host:port");  	[MsgId: MERR-26547]
